S.no,Time,Ratings,Ranking
155,2022-01-03 10:02:47.863145+05:30,144,39
156,2022-01-03 10:32:47.828439+05:30,144,41
157,2022-01-03 11:02:53.478711+05:30,144,41
158,2022-01-03 11:32:48.030424+05:30,144,41
159,2022-01-03 12:02:47.902493+05:30,144,41
160,2022-01-03 12:32:54.237093+05:30,144,41
161,2022-01-03 13:02:50.319871+05:30,144,41
162,2022-01-03 13:32:52.334479+05:30,144,41
163,2022-01-03 14:02:54.744125+05:30,144,41
164,2022-01-03 14:32:54.326220+05:30,144,41
165,2022-01-03 15:02:48.485381+05:30,144,47
166,2022-01-03 15:32:48.510854+05:30,144,47
167,2022-01-03 16:02:52.469734+05:30,144,47
168,2022-01-03 16:32:54.760371+05:30,144,47
169,2022-01-03 17:02:48.263560+05:30,144,47
170,2022-01-03 17:32:48.254573+05:30,144,47
172,2022-01-03 19:02:47.998753+05:30,144,54
175,2022-01-03 20:32:59.629038+05:30,144,54
177,2022-01-03 21:32:54.096465+05:30,144,54
178,2022-01-03 22:02:49.680115+05:30,144,54
179,2022-01-03 22:32:50.465774+05:30,144,54
180,2022-01-03 23:02:48.228149+05:30,144,54
181,2022-01-03 23:32:48.176834+05:30,144,54
182,2022-01-04 00:02:48.047835+05:30,144,54
183,2022-01-04 09:27:00.864932+05:30,144,45
184,2022-01-04 09:56:09.156365+05:30,144,45
185,2022-01-04 10:26:06.946336+05:30,144,45
186,2022-01-04 10:56:06.925678+05:30,144,45
187,2022-01-04 11:26:06.807411+05:30,144,45
188,2022-01-04 11:27:14.773271+05:30,144,45
189,2022-01-04 11:56:55.175756+05:30,144,45
190,2022-01-04 12:26:53.870827+05:30,144,45
192,2022-01-04 13:26:53.514943+05:30,144,46
193,2022-01-04 13:56:54.569844+05:30,144,46
194,2022-01-04 14:26:54.492725+05:30,144,46
195,2022-01-04 14:56:53.532272+05:30,144,46
197,2022-01-04 15:56:54.878219+05:30,144,46
199,2022-01-04 16:56:53.333193+05:30,144,46
200,2022-01-04 17:26:53.277485+05:30,144,38
201,2022-01-04 17:56:53.210607+05:30,144,38
202,2022-01-04 18:26:53.908614+05:30,144,38
213,2022-01-05 10:04:04.757128+05:30,146,52
214,2022-01-05 10:33:55.608865+05:30,146,52
215,2022-01-05 11:03:59.036416+05:30,146,52
216,2022-01-05 11:33:55.014482+05:30,146,52
217,2022-01-05 12:03:55.892322+05:30,146,52
218,2022-01-05 12:34:00.548356+05:30,146,52
219,2022-01-05 13:03:57.507594+05:30,146,52
220,2022-01-05 13:33:57.497277+05:30,146,52
222,2022-01-05 14:33:55.102959+05:30,146,52
223,2022-01-05 15:03:55.828152+05:30,146,63
224,2022-01-05 15:33:55.921476+05:30,146,63
227,2022-01-05 17:03:57.703573+05:30,146,63
228,2022-01-05 17:33:58.423223+05:30,146,63
231,2022-01-05 19:03:55.055206+05:30,146,63
232,2022-01-05 19:33:54.819705+05:30,146,53
235,2022-01-06 00:03:55.156826+05:30,146,53
236,2022-01-06 00:33:55.137748+05:30,146,53
237,2022-01-06 10:32:00.471421+05:30,146,38
239,2022-01-06 12:01:36.184658+05:30,146,36
240,2022-01-06 12:31:36.204763+05:30,146,36
241,2022-01-06 13:01:36.008103+05:30,146,36
244,2022-01-06 17:31:36.176930+05:30,146,37
245,2022-01-06 18:01:40.107916+05:30,146,37
246,2022-01-06 18:31:36.120380+05:30,146,37
251,2022-01-06 22:01:36.326931+05:30,146,43
252,2022-01-06 22:31:36.267968+05:30,146,43
254,2022-01-07 01:31:36.133337+05:30,146,42
255,2022-01-07 02:01:36.187367+05:30,146,42
256,2022-01-07 02:21:21.699322+05:30,146,42
258,2022-01-07 10:19:53.650660+05:30,146,39
259,2022-01-07 10:49:48.104485+05:30,146,39
260,2022-01-07 11:19:46.004698+05:30,146,41
262,2022-01-07 12:19:46.103995+05:30,146,41
263,2022-01-07 12:49:45.718848+05:30,146,41
264,2022-01-07 13:19:45.902095+05:30,146,41
265,2022-01-07 13:49:46.572764+05:30,146,41
266,2022-01-07 14:19:45.938011+05:30,146,41
267,2022-01-07 14:49:45.593419+05:30,146,41
269,2022-01-07 16:19:47.233869+05:30,146,51
270,2022-01-07 16:49:47.590594+05:30,146,51
271,2022-01-07 17:19:45.710227+05:30,146,51
272,2022-01-07 17:49:45.884036+05:30,146,51
273,2022-01-07 18:19:45.701660+05:30,146,51
274,2022-01-07 18:49:45.748722+05:30,146,51
275,2022-01-07 19:19:45.917154+05:30,146,51
276,2022-01-07 19:49:45.866905+05:30,146,51
277,2022-01-07 20:19:45.980630+05:30,146,28
278,2022-01-07 20:49:46.552093+05:30,146,28
279,2022-01-07 21:19:46.094528+05:30,146,28
280,2022-01-07 21:49:50.816513+05:30,146,28
281,2022-01-07 22:19:49.618627+05:30,146,28
282,2022-01-07 22:49:45.942720+05:30,146,28
283,2022-01-07 23:19:52.700369+05:30,146,28
284,2022-01-07 23:49:50.294884+05:30,146,28
285,2022-01-08 00:19:49.604695+05:30,146,32
286,2022-01-08 00:49:49.859323+05:30,146,32
287,2022-01-08 01:19:50.657198+05:30,146,32
288,2022-01-08 11:21:11.583028+05:30,146,42
293,2022-01-08 14:49:45.973819+05:30,146,37
294,2022-01-08 15:19:45.546775+05:30,146,37
296,2022-01-08 16:49:46.001208+05:30,146,48
297,2022-01-08 17:19:45.702368+05:30,146,48
301,2022-01-08 20:19:52.000507+05:30,146,43
305,2022-01-11 09:42:51.693509+05:30,146,62
306,2022-01-11 10:12:36.746602+05:30,146,62
307,2022-01-11 10:42:29.367907+05:30,146,62
308,2022-01-11 11:12:29.278420+05:30,146,62
309,2022-01-11 11:42:29.273410+05:30,146,62
310,2022-01-11 12:12:29.016669+05:30,146,62
312,2022-01-11 13:12:28.153212+05:30,146,69
313,2022-01-11 13:42:28.293663+05:30,146,69
314,2022-01-11 14:12:28.484747+05:30,146,69
315,2022-01-11 14:42:28.401476+05:30,146,69
316,2022-01-11 15:12:28.199575+05:30,146,69
317,2022-01-11 15:42:28.327485+05:30,146,69
318,2022-01-11 16:12:28.392213+05:30,146,75
319,2022-01-11 16:42:28.266345+05:30,146,75
320,2022-01-11 17:12:29.324745+05:30,146,75
321,2022-01-11 17:42:33.547706+05:30,146,75
322,2022-01-11 18:12:33.091333+05:30,146,75
324,2022-01-11 21:42:33.166035+05:30,146,79
325,2022-01-11 22:12:33.440977+05:30,146,79
326,2022-01-11 22:42:32.168222+05:30,146,79
327,2022-01-11 23:12:28.292300+05:30,146,79
328,2022-01-11 23:42:50.142043+05:30,146,79
329,2022-01-12 00:01:42.891321+05:30,146,79
330,2022-01-12 00:29:03.511322+05:30,146,79
332,2022-01-12 02:29:01.739917+05:30,146,49
334,2022-01-12 09:59:08.227235+05:30,146,45
335,2022-01-12 10:29:09.281386+05:30,146,45
336,2022-01-12 10:59:10.493586+05:30,146,45
337,2022-01-12 11:29:01.810008+05:30,146,45
338,2022-01-12 11:59:07.460162+05:30,146,45
339,2022-01-12 12:29:08.915263+05:30,146,45
340,2022-01-12 12:59:04.280845+05:30,146,51
341,2022-01-12 13:29:04.884263+05:30,146,51
343,2022-01-12 14:29:01.365492+05:30,146,51
345,2022-01-12 15:59:01.947183+05:30,146,51
346,2022-01-12 16:29:02.451365+05:30,146,51
347,2022-01-12 16:59:01.716209+05:30,146,51
349,2022-01-12 18:29:03.358011+05:30,146,65
350,2022-01-12 18:59:01.922540+05:30,146,65
352,2022-01-12 21:29:08.235420+05:30,146,72
354,2022-01-13 01:59:01.432871+05:30,146,79
355,2022-01-13 02:06:12.035448+05:30,146,79
357,2022-01-13 10:04:38.032789+05:30,146,62
358,2022-01-13 10:34:35.511798+05:30,146,62
359,2022-01-13 11:04:35.535668+05:30,146,62
360,2022-01-13 11:34:35.774659+05:30,146,62
363,2022-01-13 13:04:32.870896+05:30,146,41
364,2022-01-13 13:34:32.782478+05:30,146,41
365,2022-01-13 14:04:36.601684+05:30,146,41
369,2022-01-13 16:04:33.046447+05:30,146,41
370,2022-01-13 16:34:33.500572+05:30,146,41
371,2022-01-13 17:04:32.862621+05:30,146,41
372,2022-01-13 17:34:33.097894+05:30,146,56
373,2022-01-13 18:04:32.878056+05:30,146,56
374,2022-01-13 18:34:33.529658+05:30,146,56
375,2022-01-13 19:04:32.946995+05:30,146,56
376,2022-01-13 19:34:32.932594+05:30,146,56
377,2022-01-13 20:04:33.042936+05:30,146,56
378,2022-01-13 20:34:33.063121+05:30,146,56
379,2022-01-13 21:04:33.380754+05:30,146,62
380,2022-01-13 21:34:32.857809+05:30,146,62
381,2022-01-13 22:04:32.643504+05:30,146,62
382,2022-01-13 22:34:33.051067+05:30,146,62
383,2022-01-13 23:04:34.873593+05:30,146,62
384,2022-01-13 23:34:34.900312+05:30,146,62
385,2022-01-14 00:04:33.332923+05:30,146,62
386,2022-01-14 00:34:32.960851+05:30,146,62
387,2022-01-14 01:04:32.777794+05:30,146,62
388,2022-01-14 08:23:20.004182+05:30,147,64
389,2022-01-14 08:57:34.810397+05:30,147,64
391,2022-01-14 09:53:04.757425+05:30,147,65
392,2022-01-14 10:23:03.990593+05:30,147,65
393,2022-01-14 10:53:02.973718+05:30,147,65
394,2022-01-14 11:22:57.410194+05:30,147,65
395,2022-01-14 11:53:00.378644+05:30,147,65
396,2022-01-14 12:23:01.806054+05:30,147,65
398,2022-01-14 14:53:00.905740+05:30,147,71
399,2022-01-14 15:22:57.606610+05:30,147,71
400,2022-01-14 15:53:01.562206+05:30,147,71
401,2022-01-14 16:23:01.942068+05:30,147,71
402,2022-01-14 16:53:08.941521+05:30,147,71
403,2022-01-14 17:23:04.305394+05:30,147,71
404,2022-01-14 17:52:57.167903+05:30,147,80
411,2022-01-15 10:22:14.708173+05:30,147,89
412,2022-01-15 10:52:12.718225+05:30,147,89
413,2022-01-15 11:22:12.578030+05:30,147,89
415,2022-01-15 13:52:12.973489+05:30,147,89
420,2022-01-15 17:22:12.631213+05:30,148,62
421,2022-01-15 17:52:17.065026+05:30,148,62
422,2022-01-15 18:22:17.839142+05:30,148,62
423,2022-01-15 18:52:16.042452+05:30,148,38
425,2022-01-15 19:52:19.157908+05:30,148,38
426,2022-01-15 20:22:17.151293+05:30,148,38
428,2022-01-15 21:22:16.967418+05:30,148,38
430,2022-01-15 23:22:12.342175+05:30,148,47
433,2022-01-16 10:22:13.039833+05:30,148,51
435,2022-01-16 11:22:16.148201+05:30,148,51
437,2022-01-16 14:22:20.251465+05:30,148,35
439,2022-01-16 15:23:13.589404+05:30,148,35
440,2022-01-16 15:52:15.694808+05:30,148,35
441,2022-01-16 16:22:25.773665+05:30,148,35
443,2022-01-16 17:22:12.644697+05:30,148,35
444,2022-01-16 17:52:39.967200+05:30,148,43
445,2022-01-17 18:22:16.827422+05:30,148,43
449,2022-01-18 09:52:11.028535+05:30,148,43
451,2022-01-18 10:52:10.983212+05:30,148,43
452,2022-01-18 11:22:11.134854+05:30,148,47
455,2022-01-18 15:52:14.334686+05:30,148,45
457,2022-01-18 17:22:11.488498+05:30,148,45
458,2022-01-18 17:52:11.067382+05:30,148,45
459,2022-01-18 18:22:11.062359+05:30,148,45
463,2022-01-19 10:22:22.940690+05:30,148,55
465,2022-01-19 11:22:11.775585+05:30,148,45
466,2022-01-19 11:52:15.720015+05:30,148,45
467,2022-01-19 12:22:11.518809+05:30,148,45
468,2022-01-19 12:52:16.856189+05:30,148,45
469,2022-01-19 13:22:11.448233+05:30,148,45
471,2022-01-19 14:22:11.844494+05:30,148,45
472,2022-01-19 14:52:11.284850+05:30,148,45
473,2022-01-19 15:22:15.571029+05:30,148,45
475,2022-01-19 16:22:18.444510+05:30,148,32
477,2022-01-19 17:22:16.245405+05:30,148,32
478,2022-01-19 17:52:16.779307+05:30,148,32
479,2022-01-19 18:22:15.149533+05:30,148,32
480,2022-01-19 18:52:11.534287+05:30,148,32
481,2022-01-19 19:22:11.734598+05:30,148,47
482,2022-01-19 19:52:11.943881+05:30,148,47
483,2022-01-19 20:22:11.834654+05:30,148,47
484,2022-01-19 20:52:12.831594+05:30,148,47
485,2022-01-19 21:22:16.979523+05:30,148,47
486,2022-01-19 21:52:11.388892+05:30,148,47
487,2022-01-19 22:22:11.774610+05:30,148,47
488,2022-01-19 22:52:11.623753+05:30,148,47
489,2022-01-19 23:22:15.913341+05:30,148,47
490,2022-01-19 23:52:19.189620+05:30,148,52
491,2022-01-20 00:22:11.408145+05:30,148,52
493,2022-01-20 10:28:32.688130+05:30,148,70
494,2022-01-20 10:58:31.100494+05:30,148,70
495,2022-01-20 11:28:30.836610+05:30,148,69
500,2022-01-20 16:28:32.440729+05:30,148,77
501,2022-01-20 16:58:32.077534+05:30,148,77
504,2022-01-20 19:28:31.761257+05:30,148,86
506,2022-01-20 20:28:30.906847+05:30,148,86
509,2022-01-20 21:58:36.649392+05:30,148,86
511,2022-01-21 08:58:33.992522+05:30,148,50
514,2022-01-21 11:28:34.214222+05:30,148,52
516,2022-01-22 10:28:37.349608+05:30,148,34
518,2022-01-22 11:58:34.083447+05:30,148,34
524,2022-01-22 15:58:31.499205+05:30,148,37
527,2022-01-22 18:58:37.154558+05:30,148,49
529,2022-01-22 19:58:31.526072+05:30,148,49
530,2022-01-22 20:28:31.210252+05:30,148,59
531,2022-01-22 20:58:30.671142+05:30,148,59
533,2022-01-23 08:28:35.491747+05:30,148,55
535,2022-01-23 09:58:31.095945+05:30,148,55
536,2022-01-23 10:28:34.104923+05:30,148,55
537,2022-01-23 10:58:34.315156+05:30,148,55
539,2022-01-23 14:28:30.773892+05:30,148,55
540,2022-01-23 14:58:34.394072+05:30,148,55
541,2022-01-29 02:00:19.617195+05:30,149,97
546,2022-01-29 21:29:14.297202+05:30,149,60
547,2022-01-29 21:32:50.614204+05:30,149,60
548,2022-01-29 23:10:04.878917+05:30,149,72
549,2022-01-29 23:31:46.803068+05:30,149,72
550,2022-01-30 08:01:48.428298+05:30,149,61
551,2022-01-30 08:31:47.024316+05:30,149,61
552,2022-01-30 09:01:48.159950+05:30,149,61
559,2022-01-30 19:25:17.316487+05:30,150,106
560,2022-01-30 19:46:46.326316+05:30,150,106
561,2022-01-30 20:16:46.107046+05:30,150,106
567,2022-01-31 00:46:46.213670+05:30,150,119
568,2022-01-31 09:14:21.571906+05:30,150,129
569,2022-01-31 09:43:21.588236+05:30,150,129
570,2022-01-31 10:13:19.784331+05:30,150,129
571,2022-01-31 10:43:20.400787+05:30,150,129
572,2022-01-31 11:13:19.629749+05:30,150,123
574,2022-01-31 12:13:19.714585+05:30,150,123
575,2022-01-31 12:43:19.886509+05:30,150,123
576,2022-01-31 13:13:19.906324+05:30,150,123
583,2022-01-31 18:43:20.339698+05:30,150,78
584,2022-01-31 19:13:19.333010+05:30,150,78
585,2022-01-31 19:43:21.069464+05:30,150,55
586,2022-01-31 20:13:20.867599+05:30,150,55
589,2022-02-01 10:13:23.912169+05:30,150,61
